sentiment,title,text
positive,The laughs continue!,Season Four of this comedy is just as good as the previous three. I love this show and wished it would have gone on forever.
positive,Picture quality.,"I don't know if I was unlucky with my copy, but the picture quality is not up to standard, often somewhat blurred. Close-ups are okay, but generally this doesn't compare with other series I've bought from the same era.Having said that, the series itself is both humorous and thrilling."
positive,Havahart 5350 deer repellent,"The Electronic deer repellers do help. I have noticed a dramatic reduction in damage to the flora in my yard, but not a complete ellimination of problems.I live in a wooded area with a high deer population, so I don't think anything would totally elliminate the deer problem.Nothing is perfect in life, so I am happy with the improvement these devices have produced."
positive,Nice product very nice performance,This is a very good product with excellant performance. Picture quality is also very good. This product is mainly used by my son in his room and he plays video and X-Box and never has any complaint.
positive,Looks good and no odor,"Despite sometimes taking a week or so to empty its contents, we haven't had any problems with odors. The charcoal filter seems to do the trick. We've been using it for a few months now, so I can't say how long it will last, but there's no noticeable wear and tear yet. Another reviewer mentioned rust, so I rinse it and allow it to dry completely after I empty it. Looks good also."
negative,"Terrible read, but lots of information","This book has a lot of great information and an interesting analysis of what was behind the hysteria. However, it's not very readable. I cannot understand why Norton can't take a quote and tell it in her own words. The multiple quotes in nearly every sentence, and in Old English, made reading this book like watching paint dry. On the other hand, it's a great tranquilizer: I fell asleep several times reading it."
positive,richard marcinko rogue warrior,"A good book for military buffs. It's hard to say what is real or fiction in next book,but he says he did it all in this one. Made me laugh out loud more than once.Marcinko goes into great detail of characters."
negative,No extra features? What's the point?,"It would be nice if Disney took the lead of other companies and put extra features on their DVD Discs. New Line, Warner Bros. even Universal have gotten into the act and have made mass profits by taking the extra time to put extra features in the discs (i.e. trailers, ""Making of"" Documentaries, Deleted Scenes, Pencil Tests, etc.) A good example of an animated film with extras was ""Quest for Camelot"". If Disney is going to release these discs, but not put any extras on it and charge *full* price for them, why release them at all??? :-("
positive,good book,"This is an awesome book. Could have gone into a little more detail with the bat, seal, ect. I would recommend this to anyone who is doing anatomy or art."
positive,The perfect read,"J.K. has already made history a thousand times over and in Harry Potter's first outing it's abundantly clear as to why. This book strikes the perfect balance for humor, adventure, suspense, and even budding romance (Hermonie and Ron). If you're the one of the last two people who haven't read this book, don't cheat yourself another day. Give in, read it. This book's hype is well deserved."
negative,no stars at all,"I've got a cjpy of this album occasionally for free and when I put it on my player I prayed that I haven't spent a penny on it. Two full length disks - and no remarcable songs at all. Why is it called hits? xcept maybe 'Hey Little Girl' most of the selections are NOT hits. They look like songs of category even not B or C ... really - it's Y and Z, performed at junior school contest. Of course Bravo is teen's label... but not to such an extend ... Printing such CDs is a waste of plastic. There are more valuable disks in the stores now..."
positive,Picture Of A Rising Star,"Lee Morgan was still a youngster when he recorded this album, but you'd never know it. His star was ascending, and this recording captures him during a period when his technical ability, artistic sensibility and youthful exuberance were all present in equal parts. The result? A beautiful album by a trumpete player celebrating his gift with a solid backing band. The perfect introduction to Morgan's music, it stands on its own, highlighting his jazz roots, before he explored his funkier side on albums such as ""Cornbread."""
positive,Great Machine,"The Delta 50-760 is everything the manufacture claims. I've used it primarily at my woodturning lathe. Dust in the air has been eliminated. Heavier chips still land on the floor, but not as many, so cleanup is much easier. The machine was packaged exceptionally well. It went together easily. One minor problem with the instruction book: The book says that all you need is a 12mm wrench and a Phillips head screwdriver. Right off the bat, a 14mm wrench was needed to attach the casters, and a thin one at that. It took a few minutes to improvise a thin wrench, and that took up most of the hour it took to complete the assembly. Those casters can't be tightened down with a regular wrench. A special wrench should be supplied in the box. Overall, I am very pleased with the product.Delta 50-760 1.5 Horsepower 1,200 CFM Vertical Bag Dust Collector, 120/240-Volt 1 Phase"
positive,Great product--I've worn the feet off of mine,"My wife and I both use these with our laptops and love them. It works with any computer that has USB, and has no batteries to run down, so it's always ready. I've had mine for 2 years, and am about to replace it because I have literally run the feet off of it--the little nylon pads on the bottom have worn down to the point that it sort of scrapes when it moves. I am surprised to see the negative reviews about the cord, because I have had no problems at all. You need to be reasonably careful when retracting the cord so that it doesn't bunch up, but it seems very sturdy. I carry mine in a backpack where it gets jostled around with a bunch of other gizmos, and it continues to work perfectly. I used to think a wireless mouse was the ultimate for mobility, but those have 2 problems: 1) batteries; 2) most of them come in 2 parts, so if you lose one, the whole thing stops working. This mouse has neither of those issues."
positive,My opiñion,"This was a good mobie my favorite part was when in the beginning when she has packing her books to go to cabin in the first scene my other favorite part in the first scene was when a big murman made love with Jenny. My second favorite scene happened when the man with the saw hit him and all and all i think three good discribing words for this movie was for this film heartattack, chilis, and government corupption. if u like a big plot twish with glob of poopoo when you watch it watch it with a friend [ : have your friend coop pasta first make pasta in a medium sized pan with salt and oliveoil and maybe pestofind the secret message aboveif you do not like this and share with 150 people the movie wIlL haPApEPn tzO you in REAl LIFETHiS REallY WORKS"
positive,lyrical piano virtuousity,the glass-close portrait is achingly beautifully played. a discrete and warm miracle
positive,"Be aware this is ""bedding"" and not a bed.","I purchased this set thinking it was some sort of child's bed and what arrived was bedding - two entirely different things. The items are quality and lovely, but not what it says on the label. A more appropriate label would be ""Gossamer 4-Piece Toddler Bedding Set."" It would cause less confusion."
positive,I love Mandalay,Nicola Hitchcock's voice is amazing.Check out their website...for sample audio tracks and to view some music videos. Mandalay and Garbage are my favorite groups. Mandalay's music is La Femme Nikita-ish since it is a very classy fusion of electronia and trip-hop.
negative,Total crap..buyers beware,I bought this unit and thought will be good. It took 13 min to heat up a simple sandwitch and then entire outer surface gets heated so much. And it never worked after one time use. Had to return the product. Was very disappointed.
negative,One word: disappointing,"I'm a big fan of Demille but this was his worst effort, in my opinion. A plot too unbelieveable to even consider, a confusing mass of characters and not among them, anyone you particularly care about. Disappointing Demille."
negative,Not as expected,"I bought the game for $19.99...thinking that a brainless game would be a good break from thinking games. I mean it's Whac-A-Mole...how hard can it be? Because it's computerized, you get gold moles (more points), hairy moles (sucks points away), etc. There aren't ""in game"" instructions, so you have to keep the book nearby. Overall, I'm just not impressed...I wanted a chance to beat on some moles, not have to read a book in order to play. I could only figure out a couple of things on my own.Gameplay ends quickly if you don't read the book. Moles don't go away on first hit all the time (unless you hit the screen harder). I wonder about the long term effects that could have on the life of your Nintendo DS.I tried to get rid of the game at Game Stop a couple of days later...they are offering $2. I'll give it to a friend, hopefully her kids will have more fun with it."
positive,Way better than I thought it was going to be!!!,"Way better than I thought it was going to be!!! really great comedy with some drama mixed in. it's not enough to call it a chick's flick, so i suggest it."
negative,Returned,"It was an artificial wood. Where was the ""Beauty of solid oak with unsurpassed quality"" as described in the product description?"
positive,A TIGHT GOSPEL CD!!!!!,"I first heard this anointed singer/musician at a leadership conference in Richmond,Va serval years ago. She was the minister of music at this conference and was so anointed. Everytime when we rehearse the songs for the concert, God was giving her new songs that was flowing within her. I'm a musician myself but i was blown how she would play the piano. She was hitting chords i never heard of. One song she did i will never forget was I'm Saved. The drummer on this Cd, one of the tighest drummers on the east coast. Big Up's to Boo! I went ODU for one year and i was in the schools gospel choir and he was the drummer. This cat got mad skills."
negative,I was really looking for the English translation of this book,Because I do not understand Spanish...I was really hoping to find the English Translation of this book...so I am a bit disappointed with this.
