review,sentiment
"Ecstasy (1933) (USA 1940) Starring Hedy Lamarr (as Hedy Kiesler)<br /><br />The world's first glimpse of a 19 year-old Hedy Lamarr occurs in the early moments of this 1930's treasure as she sweeps across the screen in an angelic wedding gown. This was to be the start of a legendary career. This was our glorious introduction to the most beautiful woman ever to grace the silver screen.<br /><br />It is Eva's (Lamarr) wedding night and her older husband seems uninterested in her romantic advances. She retreats to the lonely bed and, in a beautiful scene, she fiddles with her wedding ring as the realization of her marital mistake overcomes her. The husband seems more interested in neatness and order than he does in love. Gustav Machaty uses gorgeous camera angles and pristine shot framing to capture Lamarr's considerable talent and beauty. With no words spoken in the early part of the film, she is able to grasp our sympathy, our hearts and our support. It is that combination that prepared the 1930's audiences for what they were about to see as the film unfolded. 'Ecstasy' was considered shocking for its time... Some thought it to be scandalous.<br /><br />She returns home to her father's estate and files for divorce. The next day, she wakes with a complete sense of freedom and happiness. She just has to go outside and feel the freedom of the countryside and fresh air. Eva goes for a horseback ride and happens across a beautiful lake. And in one of the most famous scenes in film history, Hedy Lamarr became the first person to ever appear nude in a major film. Her frolic in the woods and her skinny-dipping adventure in the lake were legendarily scandalous. But the audiences couldn't stay away. As with many of today's movies, the controversy made it a must-see film.<br /><br />Eva's mischievous adventure introduces her to a handsome young man who helps her find her horse, who had run off with her clothes. After an awkward meeting, they eventually fall for each other. Their first romantic rendezvous was almost as controversial as the nude scene, with its blatant waves of eroticism. However, Machaty does beautiful work in these romantic moments. Machaty creates one delightful moment, when Eva literally seems to sink into her new lover, using a gorgeous early camera trick.<br /><br />It cannot be overstated how brave this performance was on Lamarr's part. Many might have presumed it was career suicide. Instead, it gained her worldwide fame and caught the eye Louis B Mayer, who signed her to a contract with MGM. There are some truly erotic moments in this film, even by today's raunchy standards. It is impossible to imagine how they were received in the 1930's. Again, Machaty was very clever with his imagery, leaving a lot to the imagination. But we all understand very well what we are seeing and it is supremely well done.<br /><br />The meeting of Eva's former husband and her current lover is perhaps inevitable. However, the consequences of that meeting are not. The film takes a few unexpected turns in its final act and it all makes for a great story and a lovely debut on the grand stage of movie stardom for Hedy Lamarr.<br /><br />I highly recommend this once controversial, now tame film and urge you to seek it out in its restored form on DVD. It is easily worthwhile, if only for the pleasure of seeing Hedy Lamarr. But the story is compelling too and the direction is ahead of its time. 'Ecstasy' is a memorable early treasure.<br /><br />www.tccandler.com - TC Candler's Movie Reviews!!!",positive
"Maybe this was *An Important Movie* and that's why people rank it so highly, but honestly it isn't very good. In hindsight it's easy to see that Chaplin (probably all of Hollywood) was incredibly naive about the magnitude of what was really going on in the ghettos, so you can't fault him TOO much for the disconnect that affects a modern viewer, but the disconnect remains.<br /><br />More disappointingly, the movie is just clunky; it's as if Chaplin had no idea that movies had progressed in sophistication since the silent era. The set pieces, those involving both the Jewish Barber and the Dictator, don't flow into each other; they just sit there like discrete lumps of storyline that progress in fits and starts, moving SOMEWHERE but never arriving at resolution. Some are funny, some less so.<br /><br />What charm the movie has is strictly in the person of Chaplin himself. His parodies of Hitler's speeches were the best part of the whole thing, and there's no denying that he had a physical grace that was delightful to watch. But virtually everything he surrounded himself with was ANNOYING. Hannah was TOO DAMN American. The Storm Troopers were TOO DAMN American.<br /><br />Oooh! Oooh! One more thing! I don't know what purpose was served by having Garbage be the source of evil behind the throne. It almost seems like the film is saying that, if it weren't for malign influences like Garbage, Hynckle wouldn't have been that bad a guy.",negative
"How? I wondered why I hadn't seen this in theaters, or even a single commercial for it, and then after I saw the movie, I realized I was duped HARDCORE. I am a big Transporter fan, and a big Blade fan, so when I saw this I imagined some killer fight scene between two badasses, lots of gunplay, a whole bunch of stuff. Instead, I got the Ryan Phillippe movie with a brief cameo by Statham and Snipes. The guy that does the audio and video in the crime lab got more screen time than Wesley. It was like renting a Jackie Chan movie expecting a bunch of kung fu and getting Erin Brockavich. I expect bad movies from Hollywood, but actors like Snipes and Statham should treat the fan base better.",negative
"I'm a big fan of 50s sci-fi, but this is not one of my favorites. While the concept behind the movie was a natural vehicle for a classic teeny bopper sci-fi flick, the director counted too heavily on it to carry the movie. It's clear he was working with no money, because the entire movie is loaded with bloated dialogue that goes on and on forever. I have *never* seen so much time-killing in a movie.<br /><br />There are probably less than 60 seconds of ""blob footage"" in the entire movie, and most of the rest of it is people engaging in a lot of poorly-written, run-on dialogue. It was fun to see Steve M. and Anita C. together, but good heavens...how could casting have thought anyone in their right mind would believe them as teenagers?",negative
"I found this gem in a rack the local video rental store had of tapes which are exchanged among various rental outlets. 'The Man who Skied Down Everest'. Hmm... never heard about it. The box reads of some Japanese fellow who always wanted to ski down Everest and actually did it. Sounds interesting. I rented it. As expected it was documentary style. The first part can be summarized so: ""I always wanted to ski down mount Everest"". This is followed by some footage of preparation for the event. LOTS of preparation footage. OK, I suppose it takes a lot of preparation. Then we are treated to a protracted piece on the skier, Yuichiro Miura's philosophy on life etc. More filler follows and I begin to wonder where the skiing fits in to this show. More preparation is shown and they begin to make the trip to the mountain. More philosophy is shown. At last they arrive at the mountain and maybe perhaps he will get around to skiing down the friggin' thing. Lots of climbing footage later there is a description of the parachute device intended to slow Miuras' speed on the steep slope. Finally he straps on the skis and gets ready to go.<br /><br />He's off... He skis about twenty feet and his skis shoot out from under him, he deploys the parachute and tumbles in an inglorious bundle for some distance down the mountain and that's that. End of story. What the heck was that?<br /><br />OK I can buy that he always wanted to ski down Everest, made extensive preparations and actually tried it with camera crew in tow. It didn't work and he ended up tumbling down and almost killing himself, so what egregious hubris would inspire the man to release a film of it and call it skiing down Everest? Perhaps the title,""The Man Who's Feet Shot Out From Under Him and He Slid On His Ass Down Everest"" was just too long for the tape box.",negative
"Kathryn Bigelow and Mark Boal are already preparing a sequel about a young US corporal in Afghanistan. He also happens to be a highly-qualified surgeon and is roaming freely around Kabul, operating on wounded NATO soldiers. On a particularly difficult mission, he casually picks up a sniper rifle and shoots Osama Bin Laden from a distance of about 3000 yards. He is then finally promoted to sergeant, but is unable to decide between a sniper and surgeon career, so he quits from the Army altogether. One year later, frustrated with civilian life, he joins the Navy and the last scene shows him proudly wearing a white uniform.",negative
"First of all when I saw the teaser trailer for Wendy Wu, I was definitely excited. Brenda Song, one of the hottest girls on Disney Channel, would be doing martial arts and I was fine with that... until I saw the movie. The action was poorly constructed, the movie couldn't have realated to anyone, the fighting was unrealistic and it sucked... along with the plot. If you really think about it's a wannabe Buffy the Vampire Slayer, a girl who is the descendant of other warriors who were women, a girl wants to ignore her calling and wants to become homecoming queen, the watcher who bug's her to prepare for a big fight against some ancient evil. The idea just wasn't all that original, the movie is waste of time.",negative
"In 1970, feminists invaded the 'Miss World' beauty contest in London and brought the occasion to a halt by pelting the stage with flour and eggs. Why? Because, rightly or wrongly, they felt the event to be demeaning and degrading to women. I offer no criticism of their actions. Its a free world we live in. What I want to know is: why don't their modern-day equivalents invade the studios where shows such as this are made and do likewise? <br /><br />'Sex & The City' is all about four self-absorbed women from New York: Carrie is a slave to fashion who turns into a pussycat when a man so much as claps eyes on her, Charlotte yearns to find the perfect man ( they don't exist, love ) so she can use sex to ensnare the poor devil, lawyer Miranda scares men away by wittering nonsense like 'out of touch with my emotions', and lastly we have Samantha, the living embodiment of the old Martini ad 'anytime, anyplace, anywhere'. Feminists hold up these characters - particularly Samantha - as a shining example of modern-day womanhood. Well, if shouting rude words in busy restaurants is progress, I think the feminists should take a long hard look at themselves and what they're supposed to represent.<br /><br />Had 'Sex & The City' been the creation of a man, it would have been pulled from the airwaves for being sexist. Instead, like 'Charlie's Angels' before it, it has conned supposedly intelligent women into thinking it has acted as a positive force for good. There's something very clinical and cold-blooded about the show. 'The Benny Hill Show' was sexist too, but at least it was funny.",negative
"Anyone who has a remote interest in science fiction should start at the basics. Everyone says STAR WARS and STAR TREK are the best science fiction films to begin at, which is fine but the truth is THE TERMINATOR and this movie, SOYLENT GREEN, are far better choices than those series. SOYLENT is probably science fiction 's best kept secret. It remains one of the biggest, yet most forgotten films but the impact of its setting is becoming more a reality with each passing day. Charlton Heston overdramatizes his role, yet it works. Edward G. Robinson, in his final role, makes the most out of it in SOYLENT GREEN more than anyone else and his final scenes are touching.<br /><br />It is Manhattan in 2022, the world is overcrowded and food is an unbelievable fortune (a small jar of strawberry jam costs $150). A big executive for the Soylent company is murdered and police detective Thorn is on the case.<br /><br />The secret of soylent green is not a mystery if you do research on the movie. SOYLENT is enjoyable to watch, but the whole screenplay is a joke. It is just as cheap as the entire production. The screenplay and the over dramatics of the actors made the movie, yet were completely hilarious. Everyone seems to be a moron and no one knows the rules, specifically cop Thorn who likes to just waltz into people 's apartments, peruse around shamelessly and steal anything he wants. The character 's interactions keeps your attention on the movie, but still you realize that SOYLENT GREEN sucks. An enjoyable piece if you have the time, but do not expect anything more.",negative
"When I heard this film was directed by Ang Lee, I made sure to see it. This Taiwanese director burst into fame with ""The Wedding Banquet"" and ""Eat Drink Man Woman"" a few years ago and then moved on to ""Sense and Sensibility"" and ""The Ice Storm"". Now, he turns his attention to another American icon -- the Civil War.<br /><br />This story takes place in Missouri, a Union state with Southern sympathies. These never officially joined the Confederate army. Instead, they formed outlaw bands, called ""bushwhackers"", grew they hair long, and sometimes would confiscated Union uniforms which they wore over their regular clothing.<br /><br />The movie depicts their moral dilemma, the high drama of the times, and their supposedly heroic missions of killing storekeepers and farmers who aided the Union. There are no stars in this movie, unless you consider ""Jewel"" the singer, well cast as a young confederate widow as a star.<br /><br />Tobey Macquire is cast as a young German farm boy who is derided for his heritage because the Germans were supposed Union sympathizers. This young man is an excellent actor, full of fresh faced youth whose performance encompasses his wonder and subtle realizations as he's exposed to the horror of war.<br /><br />Jeffrey Wright is a freed slave who travels with the bushwhackers because of his loyalty to the young man who bought him his freedom. He gives a fine and understated performance.<br /><br />Some of the acting, however, is wooden, especially in the long conversations they have about morality. And their costumes are too new. And the ""southern gentleman"" theme of manners and hat-tipping and politeness to women comes across as a bit much -- especially since they make it a point to murder all the men who they pull from their women's arms, then burn down the stores and houses.<br /><br />While I don't think that this will go down as one of Lee Ang's ""great"" movies, I did find myself fascinated by it, in spite of the slow parts and its excessive length of 140 minutes. I was interested in what was happening next and felt empathy for each of the characters who all came across as real and imperfect human beings caught up in the forces of history.<br /><br />Not as much action as the usual war movie, but yet still recommended -- especially for Civil War buffs.<br /><br />",positive
