sentiment,text
negative,@Kardboard yea  ugh. I don't wanna move either because all my textbooks and noted are all out on the table. Sigh.
negative,"Guess there's a first time for everything, my cars broken down on the m1 and I've got the rac on the way "
negative,My cousin is going to America and it's NOT FAIR!! I know wayyy more pppl then she does..ugh..i wanna meeet all my twitter friends 
negative,@mitchelmusso Ahh this is my first comment to youu!! Love it xxxand please reply.. even though i know you never will  But will keep hope x
negative,taking care of my good friend jessica she is sick  she's going crazy she not allowed to leave this room today!
positive,#andyclemmensen #bradiewebb #shaundiviney #shortstack 
negative,@the_fool_monty I didn't. Didn't have time.  I think I am going to take the hubby there.
negative,Boo hoo hoo  i am sad
positive,Andrea Martin - My Hearts Addicted   Download Link: http://limelinx.com/files/af37bb8762d8c9e3b8277527ecad3e4e  My 2nd Fave! 
positive,"Watching American Idol  Ben Stiller and company, they're so cuuuute! Waah!!!"
negative,Getting ready for church. Still coughing up my lungs for no reason. Looks like I won't be moving as soon as I'd hoped 
negative,Gotta eat - cooking for one is no fun 
negative,getting an error updating tweetdeck.... 
negative,Still havin a sore throat 
positive,@SunRisingSoul Lies! The spirit of twitter haunts you!  Lol hope you had a great day.
negative,Sleepy at work...today has been such a loooong day 
positive,"is hanging out with Sarah, she's back from France "
positive,"I read in a magazine today, that Simon Cowell thinks Danny will win AI this season. How annoying. I like Adam "
negative,"Damn, there wasn't supposed to be an apostrophe there... "
negative,"Sitting at work, ready to go home. "
negative,is very sore this morning  but feel great because of the accomplishment! #robie #robiecreek
negative,Why doesn't somebody publish Rahat Indori's poetry in Devanagari? 
negative,Not looking forward to the day 
positive,@achenglovesfood I saw his new one downtown! Can't wait to go try it! 
negative,and now he hates me and refuses to speak to me 
positive,@Tarale aca and ttn both make you stubid I saw it on btn. 
positive,@bsandusky finally  *waves from far up north* hi la'brett!
positive,@freosan That would be fun 
positive,"Myspace, facebook, vampire freaks, blogger, and live journal is all for conversing, twitter is not. "
positive,nothing like an mini ebay shopping spree to lighten up my mood 
negative,@widdkid i wanna visit 
